pair_id,variable_x,variable_x_label,variable_y,variable_y_label,spearman_rho,pairwise_n,minimum_pairwise_n,relationship_status,x_unit,y_unit,x_denominator,y_denominator,x_latest_year_min,x_latest_year_max,y_latest_year_min,y_latest_year_max,time_basis,circularity_flag,dependency_warning,source,caveat
capacity_score__monitoring_latest_count,capacity_score,Capacity proxy score (derived),monitoring_latest_count,"Monitoring proxy, latest count",0.8469,18,8,reported_with_dependency_warning,0-100 derived score,reported count proxy,not applicable; derived comparative score,not supplied in processed official row,2007,2026,2026,2026,X: latest capacity-input rows; years vary; Y: latest returned monitoring row; missing rows remain missing,True,Circular/derived dependency: monitoring latest count contributes to the derived capacity score; rho is not independent confirmation of capacity.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
capacity_score__direct_loss_reporting_presence,capacity_score,Capacity proxy score (derived),direct_loss_reporting_presence,Direct-loss reporting presence,0.8202,22,8,reported_descriptive,0-100 derived score,binary reporting presence,not applicable; derived comparative score,not applicable; reporting-presence flag,2007,2026,2007,2020,"X: latest capacity-input rows; years vary; Y: any recorded direct-loss row, 2007-2020; visibility only",False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
water_latest_share__renewable_latest_share,water_latest_share,"Safely managed water, latest",renewable_latest_share,"Renewable energy share, latest",-0.4368,19,8,reported_descriptive,percent,percent,population in the represented geography,total final energy consumption,2020,2022,2022,2023,X: latest returned 2020-2022; Y: latest returned 2022-2023,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
water_latest_share__projected_population_growth_latest,water_latest_share,"Safely managed water, latest",projected_population_growth_latest,"Projected population growth, latest",-0.2754,19,8,reported_descriptive,percent,percent,population in the represented geography,prior-period population implied by the published rate,2020,2022,2025,2025,X: latest returned 2020-2022; Y: latest published estimate/projection 2025,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
water_latest_share__baseline_dataset_count,water_latest_share,"Safely managed water, latest",baseline_dataset_count,Baseline datasets represented,0.0737,19,8,reported_descriptive,percent,dataset count,population in the represented geography,not applicable; reviewed dataset count,2020,2022,1850,2026,X: latest returned 2020-2022; Y: reviewed baseline coverage across all returned years,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
water_latest_share__monitoring_latest_count,water_latest_share,"Safely managed water, latest",monitoring_latest_count,"Monitoring proxy, latest count",-0.5884,16,8,reported_descriptive,percent,reported count proxy,population in the represented geography,not supplied in processed official row,2020,2022,2026,2026,X: latest returned 2020-2022; Y: latest returned monitoring row; missing rows remain missing,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
water_latest_share__direct_loss_reporting_presence,water_latest_share,"Safely managed water, latest",direct_loss_reporting_presence,Direct-loss reporting presence,-0.2988,19,8,reported_descriptive,percent,binary reporting presence,population in the represented geography,not applicable; reporting-presence flag,2020,2022,2007,2020,"X: latest returned 2020-2022; Y: any recorded direct-loss row, 2007-2020; visibility only",False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
renewable_latest_share__projected_population_growth_latest,renewable_latest_share,"Renewable energy share, latest",projected_population_growth_latest,"Projected population growth, latest",0.5835,20,8,reported_descriptive,percent,percent,total final energy consumption,prior-period population implied by the published rate,2022,2023,2025,2025,X: latest returned 2022-2023; Y: latest published estimate/projection 2025,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
renewable_latest_share__baseline_dataset_count,renewable_latest_share,"Renewable energy share, latest",baseline_dataset_count,Baseline datasets represented,0.4611,20,8,reported_descriptive,percent,dataset count,total final energy consumption,not applicable; reviewed dataset count,2022,2023,1850,2026,X: latest returned 2022-2023; Y: reviewed baseline coverage across all returned years,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
renewable_latest_share__monitoring_latest_count,renewable_latest_share,"Renewable energy share, latest",monitoring_latest_count,"Monitoring proxy, latest count",0.5067,16,8,reported_descriptive,percent,reported count proxy,total final energy consumption,not supplied in processed official row,2022,2023,2026,2026,X: latest returned 2022-2023; Y: latest returned monitoring row; missing rows remain missing,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
renewable_latest_share__direct_loss_reporting_presence,renewable_latest_share,"Renewable energy share, latest",direct_loss_reporting_presence,Direct-loss reporting presence,0.5487,20,8,reported_descriptive,percent,binary reporting presence,total final energy consumption,not applicable; reporting-presence flag,2022,2023,2007,2020,"X: latest returned 2022-2023; Y: any recorded direct-loss row, 2007-2020; visibility only",False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
projected_population_growth_latest__baseline_dataset_count,projected_population_growth_latest,"Projected population growth, latest",baseline_dataset_count,Baseline datasets represented,0.3348,22,8,reported_descriptive,percent,dataset count,prior-period population implied by the published rate,not applicable; reviewed dataset count,2025,2025,1850,2026,X: latest published estimate/projection 2025; Y: reviewed baseline coverage across all returned years,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
projected_population_growth_latest__monitoring_latest_count,projected_population_growth_latest,"Projected population growth, latest",monitoring_latest_count,"Monitoring proxy, latest count",0.2115,18,8,reported_descriptive,percent,reported count proxy,prior-period population implied by the published rate,not supplied in processed official row,2025,2025,2026,2026,X: latest published estimate/projection 2025; Y: latest returned monitoring row; missing rows remain missing,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
projected_population_growth_latest__direct_loss_reporting_presence,projected_population_growth_latest,"Projected population growth, latest",direct_loss_reporting_presence,Direct-loss reporting presence,0.3309,22,8,reported_descriptive,percent,binary reporting presence,prior-period population implied by the published rate,not applicable; reporting-presence flag,2025,2025,2007,2020,"X: latest published estimate/projection 2025; Y: any recorded direct-loss row, 2007-2020; visibility only",False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
baseline_dataset_count__monitoring_latest_count,baseline_dataset_count,Baseline datasets represented,monitoring_latest_count,"Monitoring proxy, latest count",0.5923,18,8,reported_descriptive,dataset count,reported count proxy,not applicable; reviewed dataset count,not supplied in processed official row,1850,2026,2026,2026,X: reviewed baseline coverage across all returned years; Y: latest returned monitoring row; missing rows remain missing,False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
baseline_dataset_count__direct_loss_reporting_presence,baseline_dataset_count,Baseline datasets represented,direct_loss_reporting_presence,Direct-loss reporting presence,0.8046,22,8,reported_descriptive,dataset count,binary reporting presence,not applicable; reviewed dataset count,not applicable; reporting-presence flag,1850,2026,2007,2020,"X: reviewed baseline coverage across all returned years; Y: any recorded direct-loss row, 2007-2020; visibility only",False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
monitoring_latest_count__direct_loss_reporting_presence,monitoring_latest_count,"Monitoring proxy, latest count",direct_loss_reporting_presence,Direct-loss reporting presence,0.6764,18,8,reported_descriptive,reported count proxy,binary reporting presence,not supplied in processed official row,not applicable; reporting-presence flag,2026,2026,2007,2020,"X: latest returned monitoring row; missing rows remain missing; Y: any recorded direct-loss row, 2007-2020; visibility only",False,No direct formula dependency declared; interpretation remains non-causal.,Pacific Data Hub official SDMX rows and derived TASK-003 index,"Spearman relationship is descriptive, pairwise-complete, and non-causal; withheld cells do not meet the declared overlap/variation rule."
